First Name,Last Name,Gender,Team,Car,Nationality,DOB,Reliability,Performance,Concentration,Chemistry,Pit Stops,Part Fixes,Wages,Mechanic Bonuses,Relationship With Driver,Weeks Together,Contract Start,Contract End,Patience,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Potential,Improvement Rate,Peak Age,Peak Duration,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Stars
Mattia,Spini,M,8,1,Italy,14/11/1987,15,15,14.8,14,14.5,15,0.44,2;13,50,50,2012,2019,2,0,7,4,0,0,0,19,38,60,1,2,0,0,0,1,1,0,6,0,2.75
Pierre,Hamelin,M,8,2,France,19/10/1985,15.5,15,14.5,14.5,16,17,0.73,10;12,50,50,2011,2019,1,4,11,5,0,1,2,0,50,61,3,2,0,0,0,0,0,0,6,0,3.458333333
Josh,Peckett,M,9,2,UK,19/09/1985,16.5,18.5,18.5,13,17.5,18,0.45,10;11,50,50,2010,2017,2,0,10,9,0,0,6,0,50,62,3,66,0,9,0,20,12,0,236,0,2.791666667
Karel,Loos,M,9,1,Belgium,04/02/1988,17.5,17.5,17.5,16.5,16.5,17.5,0.96,10;13,50,50,2012,2019,4,1,7,6,3,0,1,0,50,64,2,79,1,1,1,20,16,0,49,0,3.916666667
Julien,Simon Chautemps,M,,,France,14/05/1978,15.5,15,16,14,16,17.5,,10;11,,,,,4,1,5,6,0,1,0,23,54,62,4,18,0,0,0,6,3,0,4,0,2.916666667
Jorn,Becker,M,10,2,Germany,21/08/1990,14.5,14.5,12.8,13.5,12.5,15,0.56,10;11,75,50,2012,2018,1,1,8,8,0,0,5,0,50,56,3,2,0,0,0,0,0,0,10,0,3.125
Dominic,Haines,M,,,UK,16/03/1979,16.5,14,14,13.5,14.5,15,,10;20,,,,,5,4,9,0,1,5,0,50,55,43,2,0,0,0,0,0,2,0,0,0,3.875
Gary,Gannon,M,11,1,UnitedStates,18/07/1982,17.5,16.5,15.5,16,15,16.8,0.75,8;18,75,100,2012,2019,2,0,7,6,0,0,6,15,19,62,2,2,0,0,0,0,0,2,0,0,3.5
Andrea,Benisi,M,12,1,Italy,19/06/1973,14.5,13.5,15,13,13.5,14.5,0.43,1;18,29,16,2012,2019,1,2,3,3,2,0,1,11,77,60,3,0,0,0,0,0,0,0,0,0,1.958333333
Daniele,Rossi,M,12,2,Italy,19/01/1975,13.5,13,11,12,11.5,13.5,0.52,3;14,100,102,2012,2019,2,0,7,8,0,0,1,17,48,65,2,19,0,0,0,5,3,0,4,0,2.583333333
Clement,Sudre,M,13,1,France,27/02/1981,13,13,12,11.5,12,14.5,0.68,8;18,46,24,2012,2019,3,4,11,5,0,0,3,4,19,65,2,0,0,0,0,0,0,0,0,0,3.041666667
Pierre-Paul,Ferry,M,13,2,France,01/02/1978,13,12.5,13,13,11.5,13,0.58,13;14,55,29,2011,2019,5,1,11,9,0,0,1,0,50,55,2,1,0,0,0,0,0,0,6,0,2.458333333
Antoine,Voyet,M,14,1,France,28/02/1982,13.5,12.5,13,12.5,13,13,0.55,4;17,65,34,2012,2019,2,0,1,4,1,0,11,0,50,65,3,2,0,0,0,2,1,0,0,0,2.75
Jose,Fontestad,M,14,2,France,21/02/1981,13.5,13.5,12,13,11.5,13.5,0.47,9;15,100,89,2012,2019,1,3,4,7,0,0,1,20,20,64,4,0,0,0,0,0,0,0,0,0,2.333333333
Geoff,Spear,M,18,1,UK,14/10/1985,13.5,13.5,12,12.5,11,13.5,0.55,8;21,5,3,2012,2019,1,5,5,11,0,0,0,26,92,63,1,0,0,0,0,0,0,0,0,0,2.75
Mark,Lincoln,M,18,2,UK,27/06/1981,13.8,12.5,13,12.8,12,14.5,0.51,10;14,67,35,2012,2019,5,4,2,6,0,0,0,21,59,62,2,4,0,0,0,1,1,0,0,0,2.541666667
Manuel,Aboy,M,16,1,Spain,08/08/1983,13,11.5,12,11,11,13,0.43,12;14,100,70,2012,2019,5,2,5,7,0,0,2,7,33,61,4,1,0,0,0,0,0,0,0,0,2.125
Kenny,Kirwan,M,16,2,UK,21/09/1987,12.5,12,11.5,11,12,13,0.48,1;14,77,41,2012,2017,4,0,9,9,3,0,0,20,93,55,2,0,0,0,0,0,0,0,0,0,2.375
James,Goodfield,M,17,1,UK,18/01/1988,12,11.5,11,12,9.5,12,0.68,4;15,100,175,2012,2019,3,4,8,7,0,0,0,20,22,62,3,150,34,72,40,19,9,0,1529,2,3.375
Andrew,Ferguson,M,17,2,UK,22/06/1983,12,11.5,11,12,9.5,12,0.65,3;15,32,17,2012,2017,1,0,0,0,1,0,0,15,15,65,3,168,8,28,15,27,15,0,921,0,3.25
Roel,van de Voorde,M,15,1,Netherlands,14/08/1983,12,11,13,12,12,13,0.63,10;15,100,84,2012,2019,3,1,10,6,0,0,4,25,50,63,3,71,3,8,0,8,6,0,277,0,3.166666667
Juan,López,M,15,2,Mexico,17/04/1989,12.5,11,10,11,12,13,0.6,2;19,8,2,2012,2019,5,0,10,1,0,0,0,37,58,55,2,21,0,0,0,5,2,0,10,0,3
Emilio,Lozano,M,19,1,Spain,11/01/1986,12,9,9,10,11,12,0.5,7;16,100,139,2012,2019,4,1,11,5,0,0,4,0,50,55,2,40,0,6,0,3,1,0,200,0,2.5
Carmelo,Romero,M,19,2,Spain,14/07/1983,11.5,10,10,10,10,11.5,0.56,8;18,4,3,2012,2017,4,0,6,8,0,0,8,0,50,57,2,214,11,39,16,31,16,0,970,0,2.791666667
Simone,Bechini,M,20,1,Italy,07/12/1978,12,11.5,12,12,11.5,13,0.47,13;16,34,18,2011,2019,5,2,6,11,0,0,1,44,205,52,2,141,40,68,45,21,10,0,1658,4,2.333333333
Ben,Easterlow,M,20,2,UK,12/04/1983,12,11.5,11,12,10.5,12,0.45,3;18,100,71,2012,2019,2,1,3,4,0,0,11,0,50,56,1,215,20,77,16,45,14,0,1036,1,2.25
Jeremy,Cotterill,M,21,1,UK,20/12/1968,15,12,11.5,12,11,13.5,0.73,1;16,100,59,2011,2017,5,1,5,10,0,0,0,0,50,54,1,237,32,97,22,35,24,0,1767,2,3.666666667
Huub,de Root,M,21,2,Netherlands,21/02/1980,12,10,9.5,10,11,13,0.5,4;14,14,12,2012,2017,4,1,6,8,0,0,8,0,50,53,2,270,15,50,8,50,11,0,1198,1,2.5
Elias,Huber,M,22,1,Germany,01/10/1987,12,11,11,11,10,12,0.49,3;16,67,35,2011,2019,4,3,2,8,1,0,0,40,70,52,1,79,0,0,1,9,4,0,238,0,2.958333333
Mathias,Weber,M,22,2,Germany,24/02/1986,12,12,12,11,9.5,12,0.4,3;16,100,52,2011,2019,5,0,1,3,0,0,0,3,14,56,3,79,0,4,0,12,3,0,189,0,2.375
Franck,Didiot,M,23,1,France,16/05/1970,13,11,10,10,10,12,0.47,11;21,100,78,2011,2017,4,4,2,7,0,1,0,0,50,60,4,2,0,0,0,1,1,0,6,0,2.791666667
Luc,Matthieu,M,23,2,France,31/07/1975,12,11,10,9.5,9,12,0.4,3;18,61,62,2013,2019,1,2,6,11,0,0,0,0,50,62,2,2,0,0,0,0,0,0,6,0,2.375
Luca,Marconi,M,24,1,Italy,07/02/1978,13,11,11,10.5,11,13,0.27,12;17,51,27,2012,2019,2,1,10,9,0,0,7,0,50,49,2,66,0,9,0,20,12,0,236,0,1.625
Mauricio,Antonelli,M,24,2,Italy,08/04/1980,12,10,11,10,11,12,0.36,12;18,100,123,2012,2019,5,1,10,9,0,0,7,31,31,51,1,79,1,1,1,20,16,0,49,0,2.166666667
Carlo,Giovanardi,M,25,1,Italy,17/11/1990,11,9,9,10,11,12,0.43,2;19,64,37,2011,2019,2,5,0,8,1,0,5,13,10,53,3,18,0,0,0,6,3,0,4,0,2.583333333
Andrea,Baresi,M,25,2,Italy,01/12/1984,12,11,10,9,11,12,0.49,10;21,100,56,2012,2019,3,0,10,3,0,0,1,0,50,62,3,2,0,0,0,0,0,0,10,0,2.958333333
Kevin,Munch,M,26,1,Switzerland,08/12/1978,13,9,11,10.5,11,12,0.42,9;15,100,86,2012,2019,2,4,3,11,0,0,0,0,98,63,2,2,0,0,0,0,0,2,0,0,2.538333333
Hebert,Berger,M,26,2,Austria,18/05/1980,12,11,11,10,9.5,12,0.41,4;14,54,29,2011,2019,4,2,3,4,3,0,0,30,70,55,2,2,0,0,0,0,0,2,0,0,2.454583333
John,Vardy,M,27,1,UK,31/10/1980,12,9.5,11,10.5,10,11.5,0.4,11;14,6,4,2012,2019,1,4,5,7,0,0,4,12,12,53,1,0,0,0,0,0,0,0,0,0,2.375
Alex,Clark,M,27,2,UK,23/11/1983,11,10,10,9.6,11,12,0.45,2;18,100,62,2009,2019,5,1,2,3,0,0,4,45,314,65,3,19,0,0,0,5,3,0,4,0,2.708333333
Hugh,Clark,M,28,1,UK,02/09/1975,12,11,10.5,10,10,12,0.5,8;16,59,31,2011,2019,4,4,7,1,0,0,0,0,50,65,4,0,0,0,0,0,0,0,0,0,3
Peter,Davis,M,28,2,UK,27/03/1983,12,11,11,9.5,10.5,12,0.44,2;20,100,95,2011,2019,5,2,7,2,0,0,4,0,50,63,4,1,0,0,0,0,0,0,6,0,2.625
Tom,Schneider,M,29,1,Germany,18/06/1985,11.5,9,9,11,10.5,12.5,0.27,1;18,78,57,2009,2019,3,1,8,7,1,0,0,33,10,61,3,2,0,0,0,2,1,0,0,0,1.59375
Ottmar,Meier,M,29,2,Switzerland,16/11/1980,12,9.5,9,10,12,11.5,0.22,2;21,65,48,2009,2019,3,5,1,7,0,0,0,20,15,64,1,0,0,0,0,0,0,0,0,0,1.3275
Alex,Silva,M,30,1,Spain,24/02/1983,12,10.5,9,11,11,12,0.38,9;15,24,12,2009,2019,3,1,10,5,2,0,10,0,70,63,3,0,0,0,0,0,0,0,0,0,2.25
Peter,McAndrew,M,30,2,UK,16/05/1973,13,11,10,9,11,13,0.29,10;17,34,18,2009,2019,4,0,1,9,0,0,5,48,50,64,2,4,0,0,0,1,1,0,0,0,1.75
Peter,de Jong,M,31,1,Netherlands,31/07/1990,11,9.5,10,10,9,12,0.26,4;17,2,1,2009,2019,3,3,7,6,0,0,0,38,20,62,1,1,0,0,0,0,0,0,0,0,1.583333333
John,Honig,M,31,2,Netherlands,07/02/1972,11,9,9,9,8.5,11,0.2,8;21,100,64,2009,2017,3,0,6,8,0,0,0,25,50,62,3,0,0,0,0,0,0,0,0,0,1.208333333
Gavin,Ward,M,32,1,Canada,11/11/1984,15,14,13,14.5,15,11,0.67,4;9,100,150,2012,2019,4,4,3,8,0,0,8,20,28,52,4,150,34,72,40,19,9,0,1529,2,3.333333333
Jonathan,Diuguid,M,32,2,UnitedStates,11/11/1973,13,12.5,12.5,13.5,13,13.5,0.63,4;9,100,150,2014,2019,4,4,3,8,0,0,8,20,28,52,4,150,34,72,40,19,9,0,1529,2,3.333333333
Dave,Faustino,M,33,1,UnitedStates,24/02/1980,14.5,15,13.5,14,13.8,13.5,0.63,4;9,100,150,2009,2019,5,0,3,9,0,0,11,42,196,52,2,168,8,28,15,27,15,0,921,0,3.25
Ben,Bretzman,M,33,2,UnitedStates,01/10/1978,15,14,13,14.5,15,11,0.33,4;9,100,150,2012,2019,4,4,3,8,0,0,8,20,28,52,4,150,34,72,40,19,9,0,1529,2,3.333333333
Michael,Cannon,M,34,1,UnitedStates,27/03/1973,16.5,15,15.5,14.5,15,16.5,0.42,4;9,50,50,2014,2019,2,0,4,5,0,0,5,0,50,60,4,2,0,0,0,0,0,0,6,0,2.916666667
Brad,Goldberg,M,34,2,UnitedStates,16/05/1977,12.5,12.5,12,13.5,12,13,0.58,4;9,100,150,2008,2019,5,4,7,6,0,0,4,0,50,54,3,71,3,8,0,8,6,0,277,0,3.25
Julian,Robertson,M,35,1,UnitedStates,31/07/1977,13,12.5,13,12,13.5,14.5,0.54,4;9,50,50,2011,2019,3,1,11,10,3,0,3,14,49,65,3,21,0,0,0,5,2,0,10,0,2.333333333
Eric,Cowdin,M,35,2,UnitedStates,18/06/1980,13.5,13,13.5,14,13,15,0.73,4;9,75,150,2014,2019,4,4,3,9,1,0,4,15,70,54,2,66,0,9,0,20,12,0,236,0,2.708333333
Jeremy,Milless,M,36,1,UnitedStates,08/04/1975,13.5,14.5,14.8,13.5,14,13.5,0.5,4;9,75,100,2012,2019,5,1,2,8,0,0,0,27,42,54,2,214,11,39,16,31,16,0,970,0,3.166666667
Nathan,O'Rourke,M,36,2,UnitedStates,07/02/1975,14,13.5,14,15.5,13,16,0.54,4;9,100,100,2011,2019,4,0,11,4,0,0,1,12,168,56,2,40,0,6,0,3,1,0,200,0,2.666666667
Ray,Gosselin,M,37,1,UnitedStates,01/12/1968,12.5,13.5,13,12,12,10.5,0.33,4;9,75,50,2010,2019,5,1,8,4,0,0,0,0,50,55,4,215,20,77,16,45,14,0,1036,1,3.458333333
Garrett,Mothersead,M,37,2,UnitedStates,17/11/1982,11,12.5,13.4,14,13,14,0.46,4;9,100,100,2011,2019,1,3,7,9,1,0,4,0,50,60,2,141,40,68,45,21,10,0,1658,4,3.083333333
Eddie,Jones,M,38,1,UnitedStates,08/12/1978,13.5,13,14.5,15,13,13,0.54,4;9,100,100,2011,2019,1,1,5,9,0,0,5,0,50,55,2,237,32,97,22,35,24,0,1767,2,3
Matthew,Greasley,M,38,2,UK,18/05/1965,14,13.8,13,13,12.5,13,0.48,4;9,100,100,2011,2019,4,0,7,11,0,0,2,0,50,55,4,270,15,50,8,50,11,0,1198,1,3.083333333
Will,Anderson,M,39,1,UnitedStates,31/10/1975,13,12,13.5,13,12.5,12,0.43,4;9,75,10,2011,2019,5,3,7,6,0,0,0,8,9,55,1,79,0,0,1,9,4,0,238,0,2.333333333
Craig,Hampson,M,39,2,UnitedStates,02/09/1977,14.5,13,13,12.5,13,14.5,0.63,4;9,75,10,2011,2019,3,2,7,1,0,0,0,44,62,54,4,2,0,0,0,1,1,0,6,0,3.083333333
Peter,Walker,M,40,1,UnitedStates,02/09/1965,11.5,11,11,11.5,11,12.5,0.29,4;9,75,10,2014,2019,3,2,7,1,0,0,0,44,62,54,4,2,0,0,0,1,1,0,6,0,3.083333333
Mark,Bennett,M,40,2,UnitedStates,27/03/1965,11.5,11,11.5,11.5,11,12,0.24,4;9,50,50,2014,2019,2,0,4,5,0,0,5,0,50,54,4,2,0,0,0,0,0,0,6,0,2.916666667
Eric,Anderson,M,41,1,UnitedStates,18/06/1975,11.5,10,11.5,11,10.5,11,0.56,4;9,75,150,2011,2019,4,4,3,9,1,0,4,15,70,54,2,66,0,9,0,20,12,0,236,0,2.708333333
Mark,Collins,M,41,2,UnitedStates,16/11/1975,11.5,10.5,11,11.9,10.5,11.5,0.38,4;9,50,10,2012,2019,4,1,0,1,0,0,0,0,50,57,4,79,1,1,1,20,16,0,49,0,3.25
Andy,Brown,M,42,1,UK,24/02/1967,13,12,11.5,11,9.99,14,0.49,4;9,60,50,2012,2019,4,2,5,3,1,0,0,0,0,56,3,18,0,0,0,6,3,0,4,0,2.166666667
Daniel,Carroll,M,42,2,UK,16/05/1975,11,11.5,10.5,11.5,11,11.5,0.58,4;9,65,50,2012,2018,2,1,1,6,0,0,11,0,50,56,3,2,0,0,0,0,0,0,10,0,1.958333333
Matt,Barnes,M,43,1,UnitedStates,31/07/1982,11,12,12,13.5,12,13,0.54,4;9,70,10,2010,2018,3,1,7,2,0,0,0,12,131,65,4,2,0,0,0,0,0,2,0,0,3.125
Alan,Royce,M,43,2,UnitedStates,31/07/1975,10,10.5,11,11.5,10.5,11,0.38,4;9,70,10,2012,2018,3,1,7,2,0,0,0,12,131,65,4,2,0,0,0,0,0,2,0,0,3.125
Matt,Barnes,M,44,1,UnitedStates,31/07/1980,9.5,10,10,11.5,10,11,0.25,4;9,70,10,2010,2018,3,1,7,2,0,0,0,12,131,65,4,2,0,0,0,0,0,2,0,0,3.125
Peter,James,M,44,2,UnitedStates,31/07/1971,10,10.5,11,11.5,10.5,11,0.36,4;9,70,10,2012,2018,3,1,7,2,0,0,0,12,131,65,4,2,0,0,0,0,0,2,0,0,3.125
Fred,Roberts,M,45,1,UnitedStates,31/07/1982,10,11,11,11.5,11,11,0.21,4;9,70,10,2010,2018,3,1,7,2,0,0,0,12,131,65,4,2,0,0,0,0,0,2,0,0,3.125
Alex,Hamilton,M,45,2,UnitedStates,31/07/1978,10.5,10.5,11,11.5,10.5,11,0.43,4;9,70,10,2012,2017,3,1,7,2,0,0,0,12,131,65,4,2,0,0,0,0,0,2,0,0,3.125
Nathan,Morris,M,46,1,UnitedStates,31/07/1970,9,11,10,10,10,10,0.29,4;9,70,10,2010,2018,3,1,7,2,0,0,0,12,131,65,4,2,0,0,0,0,0,2,0,0,3.125
Adam,Walker,M,46,2,UnitedStates,31/07/1975,9,10.5,11,11.5,10,10,0.23,4;9,70,10,2012,2017,3,1,7,2,0,0,0,12,131,65,4,2,0,0,0,0,0,2,0,0,3.125
Robert,Travis,M,47,1,UnitedStates,31/07/1980,9.5,11,11,9.5,10,10,0.17,4;9,70,10,2010,2018,3,1,7,2,0,0,0,12,131,65,4,2,0,0,0,0,0,2,0,0,3.125
Alan,Lawson,M,47,2,UnitedStates,31/07/1983,9.5,10.5,9,9.5,10,10,0.41,4;9,70,10,2012,2017,3,1,7,2,0,0,0,12,131,65,4,2,0,0,0,0,0,2,0,0,3.125
Matt,Barnes,M,48,1,UnitedStates,31/07/1982,10.5,11,11,9.5,10,10,0.29,4;9,70,10,2010,2018,3,1,7,2,0,0,0,12,131,65,4,2,0,0,0,0,0,2,0,0,3.125
Hank,Ferris,M,48,2,UnitedStates,31/07/1985,9.5,10.5,10,11.5,10.5,11,0.3,4;9,70,10,2012,2017,3,1,7,2,0,0,0,12,131,65,4,2,0,0,0,0,0,2,0,0,3.125
Roger,Garnet,M,49,1,UnitedStates,31/07/1981,8.5,12,12,13.5,9,10,0.32,4;9,70,10,2010,2019,3,1,7,2,0,0,0,12,131,65,4,2,0,0,0,0,0,2,0,0,3.125
Shaun,Norris,M,49,2,UnitedStates,31/07/1977,9.5,10.5,11,11.5,9.5,11,0.24,4;9,70,10,2012,2017,3,1,7,2,0,0,0,12,131,65,4,2,0,0,0,0,0,2,0,0,3.125
Dennis,Vardy,M,50,1,UnitedStates,31/07/1980,9.5,9,9,9.5,9,10,0.21,4;9,70,10,2010,2019,3,1,7,2,0,0,0,12,131,65,4,2,0,0,0,0,0,2,0,0,3.125
Alan,Barker,M,50,2,UnitedStates,31/07/1979,9.5,8.5,9,11.5,9.5,11,0.34,4;9,70,10,2012,2017,3,1,7,2,0,0,0,12,131,65,4,2,0,0,0,0,0,2,0,0,3.125
Peter,Clark,M,51,1,UK,02/09/1970,10,10,10.5,9,9,10,0.22,8;16,59,31,2011,2019,4,4,7,1,0,0,0,0,50,65,4,0,0,0,0,0,0,0,0,0,3
Mark,Davis,M,51,2,UK,27/03/1980,9.6,10,11,9,9.5,10,0.19,2;20,100,95,2011,2019,5,2,7,2,0,0,4,0,50,63,4,1,0,0,0,0,0,0,6,0,2.625
Kenji,Hiyoto,M,52,1,Japan,23/07/1977,15,13,14,13,12.5,13.5,0.54,12;21,5;10;15,10;20;30,2012,2019,5,2,6,1,0,0,1,15,85,53,4,,,,,,,,,,3
Cairon,Pilbeam,M,53,1,UK,09/05/1975,18.5,18.5,15.5,15,15,18.5,0.38,7;21,17;15;6,30;28;15,2013,2019,4,0,3,2,0,0,0,23,28,55,3,,,,,,,,,,2.657083333
Alessandro,Bonucci,M,58,1,Italy,29/11/1975,10,10,10,10,10,11,0.25,12;15,30;52;15,65;90;26,2012,2019,3,4,2,5,1,0,0,8,320,53,4,,,,,,,,,,2.249166667
Jonathan,Diuguid,M,55,1,UnitedStates,16/08/1983,13,11,12,12,11,13,0.36,4;15,0;1;2,0;5;11,2012,2019,4,0,2,8,1,0,0,18,34,53,3,,,,,,,,,,1.325
Seb,Muller,M,56,1,Germany,21/08/1983,13,11,12,11,12,13,0.21,8;19,6;0;10,12;0;21,2010,2019,2,5,0,8,0,0,9,36,180,53,2,,,,,,,,,,2.657083333
Alex,Watson,M,57,1,UK,12/03/1982,13,11,12,12,11.5,13,0.43,1;21,26;36;10,56;71;20,2010,2019,4,1,12,5,0,0,0,12,65,56,3,,,,,,,,,,2.28875
John,Bischoff,M,54,1,UnitedStates,16/02/1974,13,11.5,11.6,12,12,13.5,0.29,11;14,20;0;10,32;0;17,2010,2019,2,1,11,4,0,0,0,8,15,52,1,,,,,,,,,,2.547916667
Peter,Jung,M,59,1,France,28/10/1980,13,9,11,10.5,11,13,0.54,3;16,61;61;61,100;100;100,2010,2019,4,2,8,1,0,0,8,20,95,59,1,,,,,,,,,,1.499583333
Max,Van Roon,M,60,1,Netherlands,02/06/1970,13,11,12,9,11,12,0.38,2;15,45;26;32,83;40;61,2010,2019,1,0,7,10,0,0,0,0,2,58,2,,,,,,,,,,2.54875
Peter,Harper,M,61,1,UnitedStates,21/12/1970,12,9.5,10,11,9.5,12,0.25,7;17,16;3;6,19;5;10,2010,2019,5,2,4,8,0,0,0,40,123,59,1,,,,,,,,,,1.355416667
Francois,Lefebvre,M,62,1,France,13/09/1980,12,11,11,12,9,13,0.36,13;20,25;16;48,35;18;96,2010,2019,2,3,6,2,0,0,2,4,15,54,3,,,,,,,,,,1.89625
Luc,Griezmann,M,63,1,France,21/04/1980,13,12,11,11,12,13,0.21,9;18,12;10;9,15;12;10,2010,2019,3,1,0,0,0,0,7,6,36,51,2,,,,,,,,,,1.082916667
Max,Gruber,M,52,2,Germany,20/08/1978,13,11,12.5,12,13,14,0.43,4;16,8;103;103,18;100;100,2010,2019,3,1,9,6,0,0,1,1,12,54,4,,,,,,,,,,3.754166667
Pierre,Matthieu,M,53,2,Belgium,01/09/1981,13,12,11,11.5,12,15,0.29,7;15,1;1;22,6;6;42,2010,2019,4,2,3,7,0,0,0,12,43,53,2,,,,,,,,,,3.515833333
Gabriele,Rossi,M,58,2,Italy,18/12/1986,8,8,10,11,11,10,0.23,2;19,58;64;59,100;100;100,2010,2019,3,5,2,9,1,0,10,22,152,59,1,,,,,,,,,,2.41875
Tom,Brown,M,55,2,UnitedStates,30/06/1967,12,9,10,9,8.5,13,0.17,8;21,25;25;25,45;45;45,2010,2019,2,0,1,8,1,0,0,32,96,57,3,,,,,,,,,,2.418333333
Marc,Boisselot,M,56,2,France,23/01/1970,12,9,10,9,9,13,0.41,8;17,12;23;20,19;40;32,2010,2019,2,2,4,9,0,0,0,0,1,56,1,,,,,,,,,,2.74125
Peter,Long,M,57,2,UK,05/10/1975,12,10,9,10,10,13,0.29,9;20,49;49;49,86;86;86,2010,2019,3,4,13,9,0,0,6,28,99,58,4,,,,,,,,,,3.056666667
Lucas,Bethune,M,54,2,France,12/07/1980,13,11,10,9,9,12,0.3,1;17,5;10;45,10;20;48,2010,2019,1,2,9,9,0,0,0,38,140,58,1,,,,,,,,,,3.244166667
Mark,Johnson,M,59,2,UK,19/09/1979,12,10,9,10,9,12,0.32,3;20,34;49;32,42;86;39,2010,2019,3,3,10,4,0,0,0,10,32,52,4,,,,,,,,,,1.62125
Lovisa,Frisk,F,60,2,Sweden,08/05/1976,12,9,10,9.85,9.65,13,0.24,4;18,9;11;13,25;31;15,2010,2019,4,0,1,0,0,0,0,0,5,53,2,,,,,,,,,,1.430416667
Rob,Watson,M,61,2,UnitedStates,19/07/1980,9,9,8,8,8,12.5,0.21,8;16,0;0;0,0;0;0,2010,2019,4,3,6,8,0,0,1,45,65,53,3,,,,,,,,,,1.069583333
Rory,Gibson,M,62,2,UK,17/03/1980,10,9.5,11,9.5,10,9.5,0.34,13;21,6;8;7,18;22;20,2010,2019,1,5,1,6,0,0,4,3,13,60,1,,,,,,,,,,2.137916667
Alex,Molina,M,63,2,Spain,11/11/1986,12,9,8,9,9,12.5,0.22,10;16,40;30;45,60;40;70,2010,2019,4,4,0,8,0,0,0,13,183,58,2,,,,,,,,,,1.480416667
Mike,Lugg,M,,,UK,03/12/1983,13.5,12.5,11.5,15,14.5,14.5,,3;20,,,,,4,1,2,5,1,0,0,57,55,56,4,,,,,,,,,,2.150416667
Gerald,Tyler,M,,,UnitedStates,01/05/1970,13,11,12,10.5,11,13.5,,7;15,,,,,3,2,5,6,0,0,0,12,21,55,6,,,,,,,,,,2.228333333
Bill,Pappas,M,,,UnitedStates,03/02/1970,13,12,11.5,12,11.5,14,,3;16,,,,,3,4,6,3,1,0,4,0,5,56,2,,,,,,,,,,1.68875
Leena,Gade,F,,,UK,07/08/1975,15,14,13,14,13.5,16,,2;19,,,,,3,1,4,8,0,0,0,33,19,52,4,,,,,,,,,,1.979583333
